Label,Value,codigo_tabela_referencia,codigo_fipe,ano_modelo,codigo_tipo_combustivel
2003 Gasolina,2003-1,302,006016-0,2003,1
2005 Gasolina,2005-1,302,006017-8,2005,1
2004 Gasolina,2004-1,302,006017-8,2004,1
2003 Gasolina,2003-1,302,006017-8,2003,1
2000 Diesel,2000-3,302,037001-0,2000,3
1999 Diesel,1999-3,302,037001-0,1999,3
1998 Diesel,1998-3,302,037001-0,1998,3
2000 Diesel,2000-3,302,037002-9,2000,3
1999 Diesel,1999-3,302,037002-9,1999,3
1998 Diesel,1998-3,302,037002-9,1998,3
2000 Diesel,2000-3,302,037003-7,2000,3
1999 Diesel,1999-3,302,037003-7,1999,3
1998 Diesel,1998-3,302,037003-7,1998,3
1998 Diesel,1998-3,302,007001-7,1998,3
1997 Diesel,1997-3,302,007001-7,1997,3
1996 Diesel,1996-3,302,007001-7,1996,3
1995 Diesel,1995-3,302,007001-7,1995,3
1994 Diesel,1994-3,302,007001-7,1994,3
1993 Diesel,1993-3,302,007001-7,1993,3
1998 Diesel,1998-3,302,007002-5,1998,3
1997 Diesel,1997-3,302,007002-5,1997,3
1996 Diesel,1996-3,302,007002-5,1996,3
1995 Diesel,1995-3,302,007002-5,1995,3
1994 Diesel,1994-3,302,007002-5,1994,3
1993 Diesel,1993-3,302,007002-5,1993,3
1998 Gasolina,1998-1,302,007003-3,1998,1
1997 Gasolina,1997-1,302,007003-3,1997,1
1996 Gasolina,1996-1,302,007003-3,1996,1
1995 Gasolina,1995-1,302,007003-3,1995,1
1998 Gasolina,1998-1,302,007004-1,1998,1
1997 Gasolina,1997-1,302,007004-1,1997,1
1996 Gasolina,1996-1,302,007004-1,1996,1
1995 Gasolina,1995-1,302,007004-1,1995,1
1994 Gasolina,1994-1,302,007004-1,1994,1
1993 Gasolina,1993-1,302,007004-1,1993,1
1998 Gasolina,1998-1,302,007005-0,1998,1
1997 Gasolina,1997-1,302,007005-0,1997,1
1996 Gasolina,1996-1,302,007005-0,1996,1
1995 Gasolina,1995-1,302,007005-0,1995,1
1994 Gasolina,1994-1,302,007005-0,1994,1
1998 Gasolina,1998-1,302,007006-8,1998,1
1997 Gasolina,1997-1,302,007006-8,1997,1
1996 Gasolina,1996-1,302,007006-8,1996,1
1995 Gasolina,1995-1,302,007006-8,1995,1
1994 Gasolina,1994-1,302,007006-8,1994,1
1993 Gasolina,1993-1,302,007006-8,1993,1
1998 Gasolina,1998-1,302,007007-6,1998,1
1997 Gasolina,1997-1,302,007007-6,1997,1
1996 Gasolina,1996-1,302,007007-6,1996,1
1995 Gasolina,1995-1,302,007007-6,1995,1
1994 Gasolina,1994-1,302,007007-6,1994,1
1993 Gasolina,1993-1,302,007007-6,1993,1
1999 Gasolina,1999-1,302,007008-4,1999,1
1998 Gasolina,1998-1,302,007008-4,1998,1
1997 Gasolina,1997-1,302,007008-4,1997,1
1999 Gasolina,1999-1,302,007009-2,1999,1
1998 Gasolina,1998-1,302,007009-2,1998,1
1997 Gasolina,1997-1,302,007009-2,1997,1
1996 Gasolina,1996-1,302,007009-2,1996,1
1995 Gasolina,1995-1,302,007009-2,1995,1
1994 Gasolina,1994-1,302,007009-2,1994,1
1999 Gasolina,1999-1,302,007011-4,1999,1
