code,car_models
001199-1,Siena ELX 1.8 mpi 8V 103cv 4p
001200-9,Palio 1.5 mpi 8V 2p
001201-7,Palio 1.5 mpi 8V 4p
001202-5,Siena 1.5 mpi 8V 4p
001203-3,Uno Furgão 1.3 mpi Fire/ Fire Flex 8V
001204-1,Doblo Adventure/ Adv.ER 1.8 mpi 8V 103cv
001205-0,Doblo ELX 1.8 mpi 8V 103cv
001206-8,Doblo Cargo 1.8 mpi 8V 103cv
001207-6,Palio ELX 1.0 Fire/30 Anos F. Flex 8V 4p
001208-4,Palio ELX 1.3 mpi Flex 8V 4p
001209-2,Palio HLX 1.8 mpi 8V 103cv 4p
001210-6,Palio HLX 1.8 mpi Flex 8V 4p
001211-4,Siena ELX 1.0 mpi Fire/Fire Flex 8V 4p
001212-2,Siena ELX 1.3 mpi Flex 8V 4p
001213-0,Siena HLX 1.8 mpi Flex 8V 4p
001214-9,Palio Weekend ELX 1.3 mpi Flex 8V 4p
001215-7,Palio Weekend HLX 1.8 mpi Flex 4p
001216-5,Palio Week. Adv/Adv TRYON 1.8 mpi Flex
001217-3,Strada Trekking 1.8 mpi Flex 8V CS
001218-1,Strada Trekking 1.8 mpi Flex 8V CE
001219-0,Strada Adv/Adv TRYON 1.8 mpi Flex 8V CE
001220-3,Stilo 1.8 MS Lim.Edit./ MS Season 16V
001221-1,Strada 1.4 mpi Fire Flex 8V CS
001222-0,Strada 1.4 mpi Fire Flex 8V CE
001223-8,Palio ELX 1.4 Fire/30 Anos F. Flex 8V 4p
001224-6,Siena ELX 1.4 mpi Fire Flex 8V 4p
001225-4,Palio Weekend ELX 1.4 mpi Fire Flex 8V
001226-2,Marea SX 1.6 mpi 16V 106cv 4p
001227-0,Marea Weekend SX 1.6 mpi 16V 106cv 4p
001228-9,Idea ELX 1.4 mpi Fire Flex 8V 5p
001229-7,Idea HLX 1.8 mpi Flex 8V 5p
001230-0,Stilo 1.8/ 1.8 Connect Flex 8V 5p
001231-9,Palio 1.8R mpi Flex 8V 4p
001232-7,Strada Trekking 1.4 mpi Fire Flex 8V CS
001233-5,Strada Trekking 1.4 mpi Fire Flex 8V CE
001234-3,Doblo Adv/Adv TRYON/LOCKER 1.8 Flex
001235-1,Doblo Cargo 1.8 mpi Fire Flex 8V/16V 4p
001236-0,Doblo ELX 1.8 mpi 8V Flex
001237-8,Palio Celebration 1.0 Fire Flex 8V 2p
001238-6,Palio Celebration 1.0 Fire Flex 8V 4p
001239-4,Siena Celebration 1.0 Fire Flex 8V 4p
001240-8,Doblo HLX 1.8 mpi Flex 5p
001241-6,Siena TETRAFUEL 1.4 mpi Fire Flex 8v 4p
001242-4,Idea Advent./ Adv.LOCKER 1.8 mpi Flex 5p
001243-2,Stilo 1.8 SP Flex 8V 5p
001244-0,Palio 1.8R mpi Flex 8V 2p
001245-9,Uno Mille Celeb/Celeb.ECON 1.0 F.Flex 2p
001246-7,Uno Mille Celeb/Celeb.ECON 1.0 F.Flex 4p
001247-5,Stilo 1.8 Sporting Flex 8V 5P
001248-3,Punto 1.4 Fire Flex 8V 5p
001249-1,Punto ELX 1.4 Fire Flex 8V 5p
001250-5,Punto HLX 1.8 Flex 8V 5p
001251-3,Punto Sporting 1.8 Flex 8V/16V 5p
001252-1,Stilo Dualogic 1.8 Flex 8V 5p
001253-0,Stilo Dualogic 1.8 SP Flex 8V 5p
001254-8,Stilo Dualogic 1.8 Sporting Flex 8V 5p
001255-6,Palio Weekend Adventure LOCKER 1.8 Flex
001256-4,Palio Weekend Trekking 1.4 Fire Flex 8V
001257-2,Strada Adventure 1.8/ 1.8 LOCKER Flex CE
001258-0,LINEA 1.9/ HLX 1.9/ 1.8 Flex 16V 4p
001259-9,LINEA 1.9/ HLX 1.9/1.8 Flex Dualogic 4p
001260-2,LINEA ABSOLUTE 1.9/1.8 Flex Dualogic 4p
001261-0,LINEA T-JET 1.4 16V Turbo 4p
001262-9,Uno Mille WAY ECONOMY 1.0 F.Flex 2p
001263-7,Uno Mille WAY ECONOMY 1.0 F.Flex 4p
001264-5,Uno Mille Celeb. WAY ECON. 1.0 F.Flex 2p
001265-3,Uno Mille Celeb. WAY ECON. 1.0 F.Flex 4p
001266-1,Palio 1.0 ECONOMY Fire Flex 8V 2p
001267-0,Palio 1.0 ECONOMY Fire Flex 8V 4p
001268-8,Palio 1.0 Celebr. ECONOMY F.Flex 8V 2p
001269-6,Palio 1.0 Cel. ECON./ITALIA F.Flex 8V 4p
001270-0,Stilo Dualogic 1.8 BlackMotion Flex 8V
001271-8,Punto T-JET 1.4 16V Turbo 5p
001272-6,Siena EL 1.0 mpi Fire Flex 8V 4p
001273-4,Siena EL Celeb. 1.0 mpi Fire Flex 8V 4p
001274-2,LINEA LX 1.9/ 1.8 Flex 16V 4p
001275-0,LINEA LX 1.9/ 1.8 Flex 16V Dualogic 4p
001276-9,Idea ELX 1.8 mpi Flex 8V 5p
001277-7,Strada Adventure1.8/ 1.8 LOCKER Flex CD
001278-5,Palio ELX Dualogic 1.8 mpi Flex 8V 4p
001279-3,Siena HLX Dualogic 1.8 mpi Flex 8V 4p
001280-7,Palio Week.Adv.LOCK.Dualogic 1.8 Flex
001281-5,Idea Adv./ Adv.LOCK.Dualogic 1.8 Flex 5p
001282-3,Ducato Cargo Curto 2.3 ME Diesel
001283-1,Ducato Cargo Longo 2.3 ME Diesel
001284-0,Ducato Combinato 2.3 ME Diesel
001285-8,Ducato Minibus 2.3 ME Diesel
001286-6,Ducato Minibus 2.3 T.Alto ME Diesel
001287-4,Ducato Multi Long. 2.3 T.Alto ME Diesel
001288-2,Ducato Maxi. Curta 2.3 T.Alto ME Diesel
001289-0,Ducato Maxi. Long. 2.3 T.Alto ME Diesel
001290-4,500 SPORT 1.4 16V 100cv Mec.
001291-2,Strada Working 1.4 mpi Fire Flex 8V CS
001292-0,Strada Working 1.4 mpi Fire Flex 8V CE
001293-9,Strada Working 1.4 mpi Fire Flex 8V CD
001294-7,Palio Weekend Trekking 1.8 mpi Flex 8V
001295-5,500 SPORT 1.4 16V 100cv Dualogic
001296-3,500 LOUNGE 1.4 16V 100cv Mec.
001297-1,500 LOUNGE 1.4 16V 100cv Dualogic
001298-0,Stilo 1.8 ATTRACTIVE Flex 8V 5p
001299-8,Stilo Dualogic 1.8 ATTRACTIVE Flex 8V 5p
001300-5,Doblo 1.4 mpi Fire Flex 8V 4p
001301-3,Doblo ELX 1.4 mpi Fire Flex 8V 4p
001302-1,Doblo Cargo 1.4 mpi Fire Flex 8V 3p
001303-0,UNO VIVACE/RUA 1.0 EVO Fire Flex 8V 5p
001304-8,UNO ATTRACTIVE 1.4 EVO Fire Flex 8V 4p
001305-6,UNO WAY 1.0 EVO Fire Flex 8V 5p
001306-4,UNO WAY 1.4 EVO Fire Flex 8V 5p
001307-2,UNO VIVACE Celeb. 1.0 EVO F.Flex 8V 5p
001308-0,UNO ATTRACTI. Celeb.1.4 EVO F.Flex 8V 4p
001309-9,UNO WAY Celeb. 1.0 EVO Fire Flex 8V 5p
001310-2,UNO WAY Celeb. 1.4 EVO Fire Flex 8V 5p
001311-0,Strada Celeb. 1.4 mpi Fire Flex 8V CS
001312-9,Strada Celeb. 1.4 mpi Fire Flex 8V CE
001313-7,Punto ATTRACTIVE 1.4 Fire Flex 8V 5p
001314-5,Palio ATTRA./ITÁLIA 1.4 EVO F.Flex 8V 5p
001315-3,Palio Week. ATTRACTIVE 1.4 Fire Flex 8V
001316-1,Punto ESSENCE 1.6 Flex 16V 5p
001317-0,Punto ESSENCE 1.8 Flex 16V 5p
001318-8,Punto ESSENCE Dualogic 1.8 Flex 16V 5p
001319-6,Punto Sporting Dualogic 1.8 Flex 16V 5p
001320-0,Siena ATTRACTIVE 1.0 Fire Flex 8V 4p
001321-8,Siena ATTRACTIVE 1.4 Fire Flex 8V 4p
001322-6,Siena ESSENCE 1.6 Flex 16V 4p
001323-4,Siena ESSENCE Dualogic 1.6 Flex 16V 4p
001324-2,Palio ESSENCE 1.6 Flex 16V 5p
001325-0,Palio ESSENCE Dualogic 1.6 Flex 16V 5p
001326-9,Idea ESSENCE 1.6 Flex 16V 5p
001327-7,Idea ESSENCE Dualogic 1.6 Flex 16V 5p
001328-5,Idea ATTRACTIVE 1.4 Fire Flex 8V 5p
001329-3,Idea SPORTING 1.8 Flex 16V 5p
001330-7,Idea SPORTING Dualogic 1.8 Flex 16V 5p
001331-5,Siena EL 1.4 mpi Fire Flex 8V 4p
001332-3,Siena EL Celeb. 1.4 mpi Fire Flex 8V 4p
001333-1,Siena Sporting 1.6 Flex 16V 4p
001334-0,Siena Sporting Dualogic 1.6 Flex 16V 4p
001335-8,Strada Sporting 1.8 Flex 16V CE
001336-6,Palio Weekend Trekking 1.6 Flex 16V 5p
001337-4,Bravo ESSENCE 1.8 Flex 16V 5p
001338-2,Bravo ESSENCE Dualogic 1.8 Flex 16V 5p
001339-0,Bravo ABSOLUTE 1.8 Flex 16V 5p
001340-4,Bravo ABSOLUTE Dualogic 1.8 Flex 16V 5p
001341-2,UNO SPORTING 1.4 EVO Fire Flex 8V 4p
001342-0,Punto ESSENCE Dualogic 1.6 Flex 16V 5p
001343-9,UNO VIVACE 1.0 EVO Fire Flex 8V 3p
001344-7,UNO VIVACE Celeb. 1.0 EVO F. Flex 8V 3p
001345-5,UNO WAY 1.0 EVO Fire Flex 8V 2p
001346-3,UNO WAY Celeb. 1.0 EVO Fire Flex 8V 2p
001347-1,UNO ATTRACTIVE 1.4 EVO Fire Flex 8V 2p
001348-0,UNO ATTRACTI. Celeb.1.4 EVO F.Flex 8V 2p
001349-8,UNO WAY 1.4 EVO Fire Flex 8V 2p
001350-1,UNO WAY Celeb. 1.4 EVO Fire Flex 8V 2p
001351-0,UNO SPORTING 1.4 EVO Fire Flex 8V 2p
001352-8,Doblo ESSENCE 1.8 Flex 16V 5p
001353-6,Doblo ATTRACTIVE 1.4 Fire Flex 8V 5p
001354-4,LINEA ESSENCE 1.8 Flex 16V 4p
001355-2,LINEA ESSENCE Dualogic 1.8 Flex 16V 4p
001356-0,Bravo T-JET 1.4 16V Turbo 5p
001357-9,Palio Week. Adv. Dualogic 1.8 Flex
001358-7,500 Sport Air 1.4 16V/1.4 Flex Mec.
001359-5,500 Sport Air 1.4 16V/1.4 Flex 16V Aut.
001360-9,500 Lounge Air 1.4/ 1.4 Flex 16V Aut.
001361-7,500 Cult 1.4 Flex 8V EVO Mec.
001362-5,500 Cult 1.4 Flex 8V EVO Dualogic
001363-3,Strada Adv.1.8 16V Dualogic Flex CD
001364-1,Strada Adv.1.8 16V LOCKER Dualo. Flex CD
001365-0,FREEMONT EMOT./PRECISION 2.4 16V 5p Aut.
001366-8,UNO ECONOMY 1.4 EVO Fire Flex 8V 2p
001367-6,UNO ECONOMY 1.4 EVO Fire Flex 8V 4p
001368-4,UNO ECONOMY Celeb. 1.4 EVO F. Flex 8V 2p
001369-2,UNO ECONOMY Celeb. 1.4 EVO F. Flex 8V 4p
001370-6,Palio SPORTING 1.6 Flex 16V 5p
001371-4,Palio SPORTING Dualogic 1.6 Flex 16V 5p
001372-2,Palio ATTRACTIVE 1.0 EVO Fire Flex 8v 5p
001373-0,Palio Week. Adv. ITALIA 1.8 Flex 16V
001374-9,Palio W.ADV. LOCK. ITALIA 1.8 Flex 16V
001375-7,Palio Week.Adv. ITAL. Dual. 1.8 Flex 16V
001376-5,Palio W.Adv. LOC. ITAL.Dual.1.8 Flex 16V
001377-3,Punto ATTRACTIVE ITALIA 1.4 F.Flex 8V 5p
001378-1,Grand Siena ATTRAC. 1.4 EVO F.Flex 8V
001379-0,Grand Siena ESSENCE 1.6 Flex 16V
001380-3,Grand Siena ESSENCE Dual. 1.6 Flex 16V
001381-1,Grand Siena TETRAFUEL 1.4 Evo F. Flex 8V
001382-0,Doblo Adv. XINGU 1.8 Flex 16V 5p
001383-8,Doblo Adv. XINGU LOCKER 1.8 Flex 16V 5p
001384-6,Bravo SPORTING 1.8 Flex 16V 5p
001385-4,Bravo SPORTING 1.8 Dualogic Flex 16V 5p
001386-2,Strada Trekking 1.6 16V Flex CS
001387-0,Strada Trekking 1.6 16V Flex CE
001388-9,Strada Trekking 1.6 16V Flex CD
001389-7,Strada Working Celeb.1.4 Fire Flex 8V CS
001390-0,Strada Working Celeb.1.4 Fire Flex 8V CE
001391-9,Strada Working Celeb.1.4 Fire Flex 8V CD
001392-7,500 Cabrio/500 Coupe Gucci/Flex 1.4 Aut.
001393-5,UNO MILLE WAY ECO.XINGU 1.0 F.Flex 8v 5p
001394-3,UNO WAY XINGU 1.0 EVO F.Flex 8V 5P
001395-1,UNO WAY XINGU 1.4 EVO F.Flex 8V 5p
001396-0,UNO SPORT.INTERLAGOS 1.4 EVO F.Flex 8v
001397-8,Palio SPORT.INTERLAGOS 1.6 Flex 16V
001398-6,Palio SPORT.INTERLAGOS Dual.1.6 Flex 16V
001399-4,Grand Siena ESSEN.SUBLIME 1.6 Flex
001400-1,Grand Siena ESSEN.SUBLIME Dual. 1.6 Flex
001401-0,UNO VIVACE College 1.0 EVO FireFlex 5p
001402-8,Bravo WOLVERINE 1.8 Flex 16V 5p
001403-6,Bravo WOLVERINE 1.8 Dualogic Flex 16V 5p
001404-4,Strada Adv. M. March. 1.8 Flex 16V CD
001405-2,Strada Adv. M. March.1.8 Dual. Flex CD
001406-0,Strada Trek. M. March. 1.6 Flex 16V CE
001407-9,Punto BLACKMOTION 1.8 Flex 16V 5p.
001408-7,Punto BLACKMOTION Dual. 1.8 Flex 16v 5p
001409-5,LINEA ESSEN.SUBLIME 1.8 Flex 16V 4p
001410-9,LINEA ESSEN.SUBLIME Dual.1.8 Flex 16V 4p
001411-7,Strada Adv.1.8 16V Dualogic Flex CE
001412-5,Strada Adv.1.8 16V LOCKER Dual. Flex CE
001413-3,Fiorino Furgão EVO 1.4 Flex 8V 2p
001414-1,Fiorino Furgão Celeb. EVO 1.4 Flex 8V 2p
001415-0,Uno Mille Grazie 1.0 Fire Flex 8v 4p
001416-8,Idea ESSENCE SUBLIME 1.6 Flex 16V 5p
001417-6,Idea ESSENCE SUBLIME Dual.1.6 Flex16V 5p
001418-4,Palio Way 1.0 Fire Flex 8V 5p
001419-2,Palio Way Celebration 1.0 F. Flex 8V 5p
001420-6,500 Cabrio Dualogic Flex 1.4 8V
001421-4,500 Cabrio Flex 1.4 8V Mec.
001422-2,Grand Siena ESSENCE ITALIA 1.6 Flex 16V
001423-0,Grand Siena ESSEN. ITALIA Dual. 1.6 Flex
001424-9,UNO ATTRACTIVE 1.0 Fire Flex 8V 5p
001425-7,UNO EVOLUTION 1.4 Fire Flex 8V 5p
001426-5,Palio Rua 1.0 Fire Flex 8V 5p
001427-3,UNO WAY 1.4 EVO Dualogic Flex 8V 5p
001428-1,UNO SPORTING Dualogic 1.4 EVO Flex 8V 4p
001429-0,500 ABARTH MULTIAIR 1.4 TB 16V 3p
001430-3,UNO Furgão 1.0 Fire Flex 8V 3p
001431-1,Strada Working HARD 1.4 Fire Flex 8V CD
001432-0,Strada Working HARD 1.4 Fire Flex 8V CE
001433-8,Strada Working HARD 1.4 Fire Flex 8V CS
001434-6,Bravo BlackMotion 1.8 Flex 16v 5p
001435-4,Bravo BlackMotion 1.8 Dualogic Flex 5p
001436-2,UNO VIVACE ITALIA 1.0 EVO F. Flex 8V 5p
001437-0,Punto ESSENCE SP 1.6 Flex 16V 5p
001438-9,Palio ATTRA. Best Seller 1.4 EVO Flex 5p
001439-7,Palio ATTRA. Best Seller 1.0 EVO Flex 5p
001440-0,UNO WAY RIO 450 1.0 EVO Flex 8V 5p
001441-9,Strada Trekking 1.6 16V LOCKER Flex CD
001442-7,Punto ESSENCE SP Dualogic 1.6 Flex 16V
001443-5,Strada Adv.Ext. 1.8 LOCKER Dual. Flex CD
001444-3,Strada Adventure Ext. 1.8 Dual. Flex CD
001445-1,Strada Adv.Ext./ Ext. 1.8 LOCKER Flex CD
001446-0,Strada Adv. Ext. 1.8 LOCKER Dual.Flex CE
001447-8,Strada Adv. Extreme 1.8 Dual. Flex CE
001448-6,Strada Adv. Ext./ Ext.1.8 LOCKER Flex CE
001449-4,Toro Freedom 1.8 16V Flex Aut.
001450-8,Toro Opening Edition 1.8 16V Flex Aut.
001451-6,Toro Freedom 2.0 16V 4x2 TB Diesel Mec.
001452-4,Toro Freedom 2.0 16V 4x4 TB Diesel Mec.
001453-2,Toro Volcano 2.0 16V 4x4 TB Diesel Aut.
001454-0,Idea A.Ext./A..Ext.Loc.Dual. 1.8 Flex 5p
001455-9,Idea Adv.Ext./Adv.Ext. Loc. 1.8 Flex 5p
001456-7,Doblo Adv.Ext./Adv.Ext.Loc. 1.8 16V Flex
001457-5,Palio Weekend Adv. Ext. 1.8 Flex
001458-3,Palio Weekend Adv. LOCKER Ext. 1.8 Flex
001459-1,Palio Weekend Adv. Ext. 1.8 Dual. Flex
001460-5,Palio Weekend Adv. Loc.Ext.1.8 Dual.Flex
001461-3,MOBI LIKE 1.0 Fire Flex 5p.
001462-1,MOBI LIKE ON 1.0 Fire Flex 5p.
001463-0,MOBI EASY 1.0 Fire Flex 5p.
001464-8,MOBI EASY on 1.0 Fire Flex 5p.
001465-6,MOBI WAY on 1.0 Fire Flex 5p.
001466-4,MOBI WAY 1.0 Fire Flex 5p.
001467-2,Palio SPORTING B.Edit. 1.6 Flex 16V 5p
001468-0,Palio SPORTING Dual. B.Edit. 1.6 Flex 5p
001469-9,UNO SPORT. Dual. 1.4 B.Edit. Flex 8V 5p
001470-2,UNO SPORTING 1.4 B.Edit. Flex 8V 5p
001471-0,UNO SPORTING 1.3 Flex 8V 5p
001472-9,UNO SPORTING Dual./GSR 1.3 Flex 8V 5p
001473-7,UNO WAY 1.3 Flex 8V 5p
001474-5,UNO WAY 1.0 Flex 6V 5p
001475-3,UNO ATTRACTIVE 1.0 Flex 6V 5p
001476-1,UNO WAY Dual./GSR 1.3 Flex 8V 5p
001477-0,Fiorino Furgão Work. HARD 1.4 Flex 8V 2p
001478-8,Strada Working Plus 1.4 8V Flex CS
001479-6,Toro Freedom 2.4 16V Flex Aut.
001480-0,MOBI DRIVE 1.0 Flex 6V 5p
001481-8,Grand Siena ATTRACTIVE 1.0 Flex 8V 4p
001482-6,MOBI DRIVE GSR 1.0 Flex 6V 5p
001483-4,Toro Opening Ed. Plus 1.8 16V Flex Aut.
001484-2,Toro Freedom Road 1.8 16V Flex Aut.
001485-0,Toro Freedom Road 2.4 16V Flex Aut.
001486-9,UNO DRIVE 1.0 Flex 6V 5p
001487-7,Toro Freedom 2.0 16V 4x4 TB Diesel Aut.
001488-5,ARGO HGT 1.8 16V Flex Aut.
001489-3,ARGO PRECISION 1.8 16V Flex Aut.
001490-7,ARGO HGT 1.8 16V Flex Mec.
001491-5,ARGO PRECISION 1.8 16V Flex Mec.
001492-3,ARGO DRIVE GSR 1.3 8V Flex
001493-1,ARGO DRIVE 1.3 8V Flex
001494-0,ARGO DRIVE 1.0 6V Flex
001495-8,Toro Blackjack 2.4 16V flex Aut
001496-6,Ducato Chassi 2.3 16V Diesel
001497-4,Ducato Cargo Curto 2.3 16V Diesel
001498-2,Ducato Cargo Médio 2.3 16V Diesel
001499-0,Ducato Multi 2.3 16V Diesel
001500-8,Ducato MaxiCargo 2.3 16V Diesel
001501-6,Ducato MaxiMulti 2.3 16V Diesel
001502-4,CRONOS PRECISION 1.8 16V Flex Aut.
001503-2,CRONOS PRECISION 1.8 16V Flex Mec.
001504-0,CRONOS DRIVE GSR 1.3 8V Flex
001505-9,CRONOS DRIVE 1.3 8V Flex
001506-7,CRONOS 1.3 8V Flex
001507-5,Toro Volcano 2.4 16V Flex Aut.
001508-3,Toro Endurance 1.8 16V Flex Aut.
001509-1,ARGO 1.0 6V Flex.
001510-5,MOBI EASY COMFORT 1.0 Flex 5p.
001511-3,Ducato Vip Bus 2.3 16V Diesel
001512-1,Ducato Executivo 2.3 16V Diesel
001513-0,Ducato Minibus 2.3 16V Diesel
001514-8,Ducato Minibus Comfort 2.3 16v Diesel
001515-6,Strada Freedom 1.4 Flex 8V CD
001516-4,Toro Ranch 2.0 16V 4x4 TB Diesel Aut.
001517-2,CRONOS DRIVE 1.8 16V Flex Aut.
001518-0,Strada Freedom 1.4 Flex 8V CS
001519-9,ARGO TREKKING 1.3 8V Flex
001520-2,Toro Endurance 2.0 16V 4x4 Diesel Aut.
001521-0,Toro Endurance 1.8 16V Flex Mec.
001522-9,CRONOS HGT 1.8 16V Flex Aut.
001523-7,CRONOS 1.8 16V Flex Aut. 
001524-5,ARGO TREKKING 1.8 16V Flex Aut.
001525-3,Toro Ultra 2.0 16V 4x4 TB Diesel Aut.
001526-1,Strada Endurance 1.4 Flex 8V CS Plus
001527-0,Strada Freedom 1.3 Flex 8V CS Plus
001528-8,Strada Volcano 1.3 Flex 8V CD
001529-6,Strada Endurance 1.4 Flex 8V CD
001530-0,Strada Freedom 1.3 Flex 8V CD
001531-8,Fiorino Endurance EVO 1.4 Flex 8V 2p
001532-6,Grand Siena 1.4 EVO Flex 8V 4p
001533-4,Grand Siena 1.0 EVO Flex 8V 4p
001534-2,Fiorino Working 1.4 Flex 8V 2p
001535-0,Strada Opening Edition 1.3 Flex 8V CD
001536-9,MOBI TREKKING 1.0 Flex 5p.
001537-7,Toro Endurance 1.3 T270 4x2 Flex Aut.
001538-5,Toro Freedom 1.3 T270 4x2 Flex Aut.
001539-3,Toro Volcano 1.3 T270 4x2 Flex Aut.
001540-7,ARGO DRIVE S-DESIGN 1.3 8V Flex
001541-5,500e ICON (Elétrico)
001542-3,PULSE AUDACE 1.0 Turbo 200 Flex Aut.
001543-1,PULSE DRIVE 1.0 Turbo 200 Flex Aut.
001544-0,PULSE DRIVE 1.3 8V Flex Aut.
001545-8,PULSE DRIVE 1.3 8V Flex Mec. 
001546-6,PULSE IMPETUS 1.0 TURBO 200 Flex Aut.
001547-4,UNO CIAO 1.0 Fire Flex 8V 5p
001548-2,Strada Ranch 1.3 Flex 8V CD Aut.
001549-0,Strada Volcano 1.3 Flex 8V CD Aut.
001550-4,Scudo Cargo 1.5 16V Turbo Diesel
001551-2,Scudo Multi 1.5 16 V Turbo Diesel
001552-0,CRONOS 1.0 6V Flex
001553-9,CRONOS DRIVE 1.0 6V Flex
001554-7,CRONOS DRIVE 1.3 8V Flex Aut.
001555-5,CRONOS PRECISION 1.3 8V Flex Aut.
001556-3,Fastback Limited Ed.1.3 270 T.Flex Aut.
001557-1,Fastback Impetus 1.0 200 T. Flex Aut
001558-0,Fastback Audace 1.0 200 T. Flex Aut
001559-8,PULSE ABARTH 1.3 Turbo 16V Flex Aut.
001560-1,E-Scudo (Elétrico)
001561-0,ARGO DRIVE 1.3 8V Flex Aut.
001562-8,ARGO TREKKING 1.3 8V Flex Aut.
001563-6,Ducato Cargo 2.2 Diesel (E6)
001564-4,Ducato MaxiCargo 2.2 Diesel (E6)
001565-2,Ducato Multi 2.2 Diesel (E6)
001566-0,Ducato Minibus 2.2 Exec. 17L Diesel (E6)
001567-9,Ducato Minibus 2.2 Comf.19L Diesel (E6)
001568-7,Fastback 1.0 200 Turbo Flex Aut
001569-5,Strada Endurance 1.3 Flex 8V CS
001570-9,Strada Ranch 1.0 Flex Turbo CD Aut.
001571-7,Strada Ultra 1.0 Flex Turbo CD Aut.
067001-4,Buggy Plus 1.6 8V
067002-2,Buggy Vip 1.8 8V
067003-0,Buggy Vip 1.6 8V Total Flex
067004-9,Buggy Off Road 1.8 8V
067005-7,Buggy Off Road 1.6 8V
003001-5,Courier 1.3i/Furgão
003002-3,Courier CLX 1.4i 16V
003003-1,Courier Si 1.4i 16V
003004-0,Escort GL 1.8i 16V 3p
003005-8,Escort GL 1.8i 16V 4p
003006-6,Escort S.W GL 1.8i 16V
003007-4,Escort GLX 1.8i 16V 4p
003008-2,Escort S.W. GLX 1.8i 16V
003009-0,F-1000 Regular Cab. 4.9i
003010-4,F-1000 XL 4.9i CE
003011-2,F-1000 XLT/XL Lighting 4.9i
003012-0,F-1000 XL Diesel Turbo
003013-9,F-1000 XLT Diesel Turbo
003014-7,F-1000 XL 4x4 Diesel Turbo
003015-5,F-1000 XLT 4x4 Diesel Turbo
003016-3,Fiesta 1.0i 3p e 5p
003017-1,Fiesta CLX 1.4i 16V 3p e 5p
003018-0,Ka 1.0i 3p
003019-8,Ka CLX 1.3i 3p
003020-1,Belina L 1.8/ 1.6
003021-0,Belina GL 1.8 / 1.6
003023-6,Del Rey L 1.8 / 1.6 2p e 4p
003024-4,Del Rey GLX 1.6/1.8 / GL 1.6/1.8 2p e 4p
003025-2,Del Rey Ghia 1.8 / 1.6 2p e 4p
003026-0,Escort Hobby 1.0
003027-9,Escort Hobby 1.6
003028-7,Escort L/LX 1.6
003029-5,Escort L 1.8i / 1.8
003030-9,Escort GL 1.6i / 1.6
003031-7,Escort GL 1.8i / 1.8
003032-5,Escort GLX 1.6i
003033-3,Escort GLX 1.8i 8v
003034-1,Escort Guarujá 1.8 4p
003035-0,Escort Ghia 1.8i / 1.8 / 1.6
003036-8,Escort Ghia 2.0i / 2.0
003038-4,Escort XR3 1.8 / 1.6 Beneton/Form./Laser
003039-2,Escort XR3 1.8 / 1.6 Conversível
003040-6,Escort XR3 2.0i
003041-4,Escort XR3 2.0i Conversível
003042-2,F-1000 Super 3.6 / Super Série 3.6
003043-0,F-1000 Super CE 4.9i / 3.6
003044-9,F-1000 Super Série CE 4.9/3.6
003045-7,F-1000 Super Diesel CE 3.9
003046-5,F-1000 Super Diesel / Super Diesel Turbo
003047-3,F-1000 Super Série CE Diesel 3.9
003048-1,F-1000 S. S. Diesel / S.S. Diesel Turbo
003049-0,F-1000 Super/ S.Série 4x4 3.9 Diesel
003052-0,Fiesta CLX 1.3i 3p
003053-8,Fiesta CLX 1.3i 5p
003054-6,Pampa L 1.6
003055-4,Pampa L 1.8i / 1.8
003056-2,Pampa GL 1.6/ 1.8
003057-0,Pampa S 1.8
003058-9,Pampa 4x4 Jeep GL / L 1.6
003059-7,Royale GL 1.8/1.8i 2p e 4p
003060-0,Royale GL 2.0/2.0i 2p e 4p
003061-9,Royale Ghia 2.0/2.0i 2p e 4p
003062-7,Verona GL 1.8i / LX 1.8i 4p
003063-5,Verona GLX 1.8i / 1.8 4p
003064-3,Verona GLX 2.0i / 2.0 4p
003065-1,Verona Ghia 2.0i 4p
003066-0,Verona S 2.0i 4p
003067-8,Verona LX 1.6 (Modelo antigo)
003068-6,Verona LX 1.8 (Modelo antigo)
003069-4,Verona GLX 1.8 (Modelo antigo)
003070-8,Versailles GL 1.8i / 1.8 2p e 4p
003071-6,Versailles GL 2.0i / 2.0 2p e 4p
003072-4,Versailles Ghia 2.0i / 2.0 2p e 4p
003073-2,Explorer XLT 4x2 4.0 V6
003074-0,Explorer XLT 4x4 4.0 V6
003075-9,Fiesta 1.3 3p e 5p
003076-7,Mondeo CLX 1.8 4p e 5p
003077-5,Mondeo CLX 1.8i SW
003078-3,Mondeo CLX 2.0i 4p Mec
003079-1,Mondeo CLX 2.0i SW Mec
003080-5,Mondeo GLX 2.0 4p e 5p
003082-1,Mondeo GLX 2.0i SW Mec./ Aut.
003083-0,Mustang GT V8
003084-8,Mustang GT V8 Conversível
003085-6,Ranger XL 2.3 CS
003086-4,Ranger XL 4.0 CS
003087-2,Ranger XLT 2.3 CS
003088-0,Ranger XLT 4.0 4x2 CS
003089-9,Ranger Splash CS
003090-2,Ranger STX 4.0 CS/ CE
003091-0,Taurus GL 3.0 V6
003092-9,Taurus L/LX 3.0 V6
003093-7,Windstar GL
003094-5,Windstar LX
003095-3,Escort RS 1.8i 16V
003096-1,Fiesta GL Class 1.0i 5p
003097-0,Ka Street 1.0i
