marca,modelo,qtd_emplacados,ano_mes,tipo
FIAT,STRADA,109107,2021-12-01,comerciais_leves
FIAT,TORO,70890,2021-12-01,comerciais_leves
TOYOTA,HILUX,45893,2021-12-01,comerciais_leves
GM,S10,35045,2021-12-01,comerciais_leves
VW,SAVEIRO,26751,2021-12-01,comerciais_leves
FIAT,FIORINO,20602,2021-12-01,comerciais_leves
FORD,RANGER,20499,2021-12-01,comerciais_leves
MITSUBISHI,L200,13157,2021-12-01,comerciais_leves
RENAULT,OROCH,12133,2021-12-01,comerciais_leves
NISSAN,FRONTIER,11816,2021-12-01,comerciais_leves
RENAULT,MASTER,9672,2021-12-01,comerciais_leves
VW,AMAROK,7894,2021-12-01,comerciais_leves
PEUGEOT,EXPERT,3922,2021-12-01,comerciais_leves
VW,MAN-EXPRESS,3545,2021-12-01,comerciais_leves
HYUNDAI,HR,3298,2021-12-01,comerciais_leves
CITROEN,JUMPY,3212,2021-12-01,comerciais_leves
FIAT,DUCATO,2934,2021-12-01,comerciais_leves
KIA,K2500,2413,2021-12-01,comerciais_leves
IVECO,DAILY-35-150,2264,2021-12-01,comerciais_leves
RAM,2500,2227,2021-12-01,comerciais_leves
GM,MONTANA,2182,2021-12-01,comerciais_leves
IVECO,DAILY-30-130,981,2021-12-01,comerciais_leves
FIAT,DOBLO,956,2021-12-01,comerciais_leves
M.BENZ,SPRINTER-416,843,2021-12-01,comerciais_leves
M.BENZ,SPRINTER-314,647,2021-12-01,comerciais_leves
EFFA,V21,545,2021-12-01,comerciais_leves
PEUGEOT,PARTNER,540,2021-12-01,comerciais_leves
RAM,1500,533,2021-12-01,comerciais_leves
PEUGEOT,BOXER,325,2021-12-01,comerciais_leves
M.BENZ,SPRINTER,237,2021-12-01,comerciais_leves
CITROEN,JUMPER,236,2021-12-01,comerciais_leves
EFFA,V22,212,2021-12-01,comerciais_leves
FOTON,AUMARK-1039,138,2021-12-01,comerciais_leves
BYD,T3,124,2021-12-01,comerciais_leves
RENAULT,KANGOO,123,2021-12-01,comerciais_leves
JAC,v260,98,2021-12-01,comerciais_leves
IVECO,DAILY,83,2021-12-01,comerciais_leves
FOTON,AUMARK-3.5-14DT,67,2021-12-01,comerciais_leves
IVECO,DAILY-30S13,58,2021-12-01,comerciais_leves
EFFA,V25,46,2021-12-01,comerciais_leves
FORD,MAVERICK,39,2021-12-01,comerciais_leves
IVECO,DAILY-5516,29,2021-12-01,comerciais_leves
IVECO,DAILY-35S14,26,2021-12-01,comerciais_leves
TOYOTA,BANDEIRANTE,16,2021-12-01,comerciais_leves
VW,KOMBI,11,2021-12-01,comerciais_leves
GM,SILVERADO,8,2021-12-01,comerciais_leves
FORD,F250,6,2021-12-01,comerciais_leves
M.BENZ,SPRINTER-313,6,2021-12-01,comerciais_leves
WILLYS,OVERLAND,6,2021-12-01,comerciais_leves
EFFA,K01,6,2021-12-01,comerciais_leves
