marca,modelo,qtd_emplacados,ano_mes,tipo
HYUNDAI,HB20,86548,2020-12-01,automoveis
GM,ONIX-PLUS,83392,2020-12-01,automoveis
VW,GOL,71151,2020-12-01,automoveis
FORD,KA,67491,2020-12-01,automoveis
FIAT,ARGO,65937,2020-12-01,automoveis
VW,T-CROSS,60119,2020-12-01,automoveis
JEEP,RENEGADE,56865,2020-12-01,automoveis
JEEP,COMPASS,52966,2020-12-01,automoveis
RENAULT,KWID,49475,2020-12-01,automoveis
GM,TRACKER,49372,2020-12-01,automoveis
HYUNDAI,CRETA,47757,2020-12-01,automoveis
FIAT,MOBI,46617,2020-12-01,automoveis
VW,POLO,41836,2020-12-01,automoveis
TOYOTA,COROLLA,41072,2020-12-01,automoveis
NISSAN,KICKS,36433,2020-12-01,automoveis
HONDA,HR-V,32511,2020-12-01,automoveis
VW,VIRTUS,30880,2020-12-01,automoveis
RENAULT,SANDERO,26344,2020-12-01,automoveis
FORD,KA-SEDAN,25743,2020-12-01,automoveis
VW,VOYAGE,24114,2020-12-01,automoveis
FORD,ECOSPORT,24031,2020-12-01,automoveis
HYUNDAI,HB20S,23984,2020-12-01,automoveis
FIAT,UNO,22737,2020-12-01,automoveis
TOYOTA,YARIS-HB,21431,2020-12-01,automoveis
HONDA,CIVIC,20447,2020-12-01,automoveis
VW,FOX-CROSS-FOX,20382,2020-12-01,automoveis
RENAULT,DUSTER,19476,2020-12-01,automoveis
VW,NIVUS,16278,2020-12-01,automoveis
FIAT,CRONOS,16165,2020-12-01,automoveis
TOYOTA,YARIS-SEDAN,16128,2020-12-01,automoveis
GM,SPIN,15661,2020-12-01,automoveis
RENAULT,LOGAN,13785,2020-12-01,automoveis
HONDA,FIT,12833,2020-12-01,automoveis
RENAULT,CAPTUR,10870,2020-12-01,automoveis
FIAT,SIENA,10857,2020-12-01,automoveis
HONDA,WR-V,10600,2020-12-01,automoveis
NISSAN,VERSA,9906,2020-12-01,automoveis
CITROEN,C4-CACTUS,9526,2020-12-01,automoveis
TOYOTA,HILUX-SW4,9128,2020-12-01,automoveis
GM,CRUZE-SEDAN,8802,2020-12-01,automoveis
CAOA-CHERY,TIGGO-5X,8768,2020-12-01,automoveis
TOYOTA,ETIOS-HB,8699,2020-12-01,automoveis
VW,TIGUAN,8298,2020-12-01,automoveis
HONDA,CITY,7280,2020-12-01,automoveis
VW,UP,6924,2020-12-01,automoveis
VW,JETTA,5796,2020-12-01,automoveis
TOYOTA,ETIOS-SEDAN,5308,2020-12-01,automoveis
GM,EQUINOX,4812,2020-12-01,automoveis
BMW,320I,4794,2020-12-01,automoveis
