marca,modelo,qtd_emplacados,ano_mes,tipo
HYUNDAI,HB20,96255,2022-12-01,automoveis
GM,ONIX,85252,2022-12-01,automoveis
GM,ONIX-PLUS,75243,2022-12-01,automoveis
FIAT,MOBI,72756,2022-12-01,automoveis
VW,GOL,72606,2022-12-01,automoveis
GM,TRACKER,70806,2022-12-01,automoveis
VW,T-CROSS,65341,2022-12-01,automoveis
FIAT,ARGO,64016,2022-12-01,automoveis
JEEP,COMPASS,63564,2022-12-01,automoveis
HYUNDAI,CRETA,62651,2022-12-01,automoveis
RENAULT,KWID,57388,2022-12-01,automoveis
JEEP,RENEGADE,51398,2022-12-01,automoveis
FIAT,PULSE,50522,2022-12-01,automoveis
TOYOTA,COROLLA,42887,2022-12-01,automoveis
TOYOTA,COROLLA-CROSS,42506,2022-12-01,automoveis
FIAT,CRONOS,41680,2022-12-01,automoveis
VW,NIVUS,39463,2022-12-01,automoveis
NISSAN,KICKS,38983,2022-12-01,automoveis
VW,VOYAGE,35928,2022-12-01,automoveis
PEUGEOT,208,29918,2022-12-01,automoveis
TOYOTA,YARIS-HB,26614,2022-12-01,automoveis
HYUNDAI,HB20S,25497,2022-12-01,automoveis
RENAULT,DUSTER,22690,2022-12-01,automoveis
JEEP,COMMANDER,22355,2022-12-01,automoveis
HONDA,CITY,22132,2022-12-01,automoveis
CITROEN,C4-CACTUS,18450,2022-12-01,automoveis
GM,SPIN,17816,2022-12-01,automoveis
HONDA,CITY-HATCH,16115,2022-12-01,automoveis
TOYOTA,YARIS-SEDAN,15783,2022-12-01,automoveis
HONDA,HR-V,15404,2022-12-01,automoveis
TOYOTA,HILUX-SW4,13718,2022-12-01,automoveis
VW,TAOS,11737,2022-12-01,automoveis
CITROEN,C3,10834,2022-12-01,automoveis
RENAULT,SANDERO,10673,2022-12-01,automoveis
CAOA-CHERY,TIGGO-8,10439,2022-12-01,automoveis
RENAULT,LOGAN,10320,2022-12-01,automoveis
FIAT,FASTBACK,9889,2022-12-01,automoveis
CAOA-CHERY,TIGGO-5X,9653,2022-12-01,automoveis
CAOA-CHERY,TIGGO-7,8876,2022-12-01,automoveis
GM,CRUZE-SEDAN,8517,2022-12-01,automoveis
VW,POLO,8193,2022-12-01,automoveis
NISSAN,VERSA,5662,2022-12-01,automoveis
VW,VIRTUS,5626,2022-12-01,automoveis
PEUGEOT,2008,5176,2022-12-01,automoveis
BMW,320I,4909,2022-12-01,automoveis
FIAT,SIENA,4141,2022-12-01,automoveis
MITSUBISHI,ECLIPSE-CROSS,3725,2022-12-01,automoveis
CAOA-CHERY,TIGGO-3X,3656,2022-12-01,automoveis
BMW,X1,3479,2022-12-01,automoveis
GM,TRAILBLAZER,3208,2022-12-01,automoveis
