marca,modelo,qtd_emplacados,ano_mes,tipo
HYUNDAI,HB20,86455,2021-12-01,automoveis
FIAT,ARGO,84644,2021-12-01,automoveis
JEEP,RENEGADE,73913,2021-12-01,automoveis
GM,ONIX,73623,2021-12-01,automoveis
JEEP,COMPASS,70906,2021-12-01,automoveis
VW,GOL,66228,2021-12-01,automoveis
FIAT,MOBI,65847,2021-12-01,automoveis
HYUNDAI,CRETA,64759,2021-12-01,automoveis
VW,T-CROSS,62307,2021-12-01,automoveis
GM,ONIX-PLUS,54707,2021-12-01,automoveis
RENAULT,KWID,52916,2021-12-01,automoveis
GM,TRACKER,50757,2021-12-01,automoveis
TOYOTA,COROLLA,41891,2021-12-01,automoveis
HONDA,HR-V,38406,2021-12-01,automoveis
VW,NIVUS,36664,2021-12-01,automoveis
NISSAN,KICKS,36524,2021-12-01,automoveis
TOYOTA,COROLLA-CROSS,34249,2021-12-01,automoveis
VW,VOYAGE,28593,2021-12-01,automoveis
FIAT,CRONOS,27887,2021-12-01,automoveis
HYUNDAI,HB20S,25568,2021-12-01,automoveis
RENAULT,DUSTER,22457,2021-12-01,automoveis
TOYOTA,YARIS-HB,21126,2021-12-01,automoveis
VW,VIRTUS,20563,2021-12-01,automoveis
FIAT,UNO,20555,2021-12-01,automoveis
CITROEN,C4-CACTUS,19552,2021-12-01,automoveis
VW,POLO,19196,2021-12-01,automoveis
HONDA,CIVIC,18949,2021-12-01,automoveis
VW,FOX-CROSS-FOX,17946,2021-12-01,automoveis
PEUGEOT,208,16342,2021-12-01,automoveis
FIAT,SIENA,15355,2021-12-01,automoveis
TOYOTA,HILUX-SW4,13641,2021-12-01,automoveis
GM,SPIN,13005,2021-12-01,automoveis
CAOA-CHERY,TIGGO-5X,12555,2021-12-01,automoveis
RENAULT,SANDERO,12442,2021-12-01,automoveis
TOYOTA,YARIS-SEDAN,12436,2021-12-01,automoveis
NISSAN,VERSA,11107,2021-12-01,automoveis
CAOA-CHERY,TIGGO-8,10462,2021-12-01,automoveis
HONDA,WR-V,10329,2021-12-01,automoveis
RENAULT,LOGAN,9478,2021-12-01,automoveis
FORD,KA,8464,2021-12-01,automoveis
RENAULT,CAPTUR,8304,2021-12-01,automoveis
PEUGEOT,2008,7747,2021-12-01,automoveis
VW,TAOS,7732,2021-12-01,automoveis
HONDA,FIT,7138,2021-12-01,automoveis
GM,CRUZE-SEDAN,7090,2021-12-01,automoveis
FIAT,PULSE,6724,2021-12-01,automoveis
HONDA,CITY,6138,2021-12-01,automoveis
BMW,320I,5428,2021-12-01,automoveis
FIAT,DOBLO,5355,2021-12-01,automoveis
NISSAN,V-DRIVE,4963,2021-12-01,automoveis
