marca,modelo,qtd_emplacados,ano_mes
FIAT,STRADA,112456,2022-12-01
FIAT,TORO,49567,2022-12-01
TOYOTA,HILUX,48606,2022-12-01
GM,S10,27128,2022-12-01
VW,SAVEIRO,23422,2022-12-01
FIAT,FIORINO,20954,2022-12-01
MITSUBISHI,L200,15831,2022-12-01
FORD,RANGER,14302,2022-12-01
RENAULT,OROCH,12022,2022-12-01
RENAULT,MASTER,10023,2022-12-01
NISSAN,FRONTIER,8669,2022-12-01
VW,AMAROK,6012,2022-12-01
PEUGEOT,EXPERT,3569,2022-12-01
CITROEN,JUMPY,2749,2022-12-01
KIA,K2500,2687,2022-12-01
RAM,3500,2204,2022-12-01
PEUGEOT,PARTNER,2154,2022-12-01
VW,MAN-EXPRESS,2127,2022-12-01
FORD,TRANSIT,2065,2022-12-01
FIAT,DUCATO,1849,2022-12-01
IVECO,DAILY-35-150,1413,2022-12-01
FORD,MAVERICK,1382,2022-12-01
RAM,1500,1251,2022-12-01
RAM,2500,1046,2022-12-01
FIAT,SCUDO,1033,2022-12-01
IVECO,DAILY,957,2022-12-01
EFFA,V21,720,2022-12-01
HYUNDAI,HR,646,2022-12-01
RAM,CLASSIC,552,2022-12-01
M.BENZ,SPRINTER-314,478,2022-12-01
IVECO,DAILY-30-130,464,2022-12-01
M.BENZ,SPRINTER-315,425,2022-12-01
RENAULT,KANGOO,401,2022-12-01
EFFA,V22,270,2022-12-01
M.BENZ,SPRINTER-416,255,2022-12-01
M.BENZ,SPRINTER,150,2022-12-01
JEEP,GLADIATOR,130,2022-12-01
PEUGEOT,BOXER,94,2022-12-01
CITROEN,JUMPER,80,2022-12-01
JAC,v260,71,2022-12-01
FOTON,AUMARK-3.5-14DT,67,2022-12-01
FOTON,AUMARK-1039,62,2022-12-01
EFFA,V25,51,2022-12-01
BYD,T3,37,2022-12-01
KIA,UK2500,36,2022-12-01
FORD,F150,34,2022-12-01
GM,SILVERADO,25,2022-12-01
JAC,IEV750,23,2022-12-01
FIAT,DOBLO,19,2022-12-01
GM,MONTANA,18,2022-12-01
