marca,modelo,qtd_emplacados,ano_mes,tipo
FIAT,STRADA,76223,2019-12-01,comerciais_leves
FIAT,TORO,65566,2019-12-01,comerciais_leves
VW,SAVEIRO,42270,2019-12-01,comerciais_leves
TOYOTA,HILUX,40419,2019-12-01,comerciais_leves
GM,S10,32161,2019-12-01,comerciais_leves
FORD,RANGER,22218,2019-12-01,comerciais_leves
VW,AMAROK,18911,2019-12-01,comerciais_leves
FIAT,FIORINO,17342,2019-12-01,comerciais_leves
RENAULT,OROCH,13363,2019-12-01,comerciais_leves
GM,MONTANA,12524,2019-12-01,comerciais_leves
MITSUBISHI,L200,10226,2019-12-01,comerciais_leves
RENAULT,MASTER,8478,2019-12-01,comerciais_leves
NISSAN,FRONTIER,8089,2019-12-01,comerciais_leves
FIAT,DUCATO,5489,2019-12-01,comerciais_leves
HYUNDAI,HR,3996,2019-12-01,comerciais_leves
VW,EXPRESS,3497,2019-12-01,comerciais_leves
KIA,K2500,2430,2019-12-01,comerciais_leves
PEUGEOT,EXPERT,2306,2019-12-01,comerciais_leves
CITROEN,JUMPY,1984,2019-12-01,comerciais_leves
IVECO,DAILY-35S14,1825,2019-12-01,comerciais_leves
PEUGEOT,PARTNER,1798,2019-12-01,comerciais_leves
M.BENZ,SPRINTER-313,1571,2019-12-01,comerciais_leves
IVECO,DAILY-30S13,848,2019-12-01,comerciais_leves
RAM,2500,652,2019-12-01,comerciais_leves
CITROEN,BERLINGO,626,2019-12-01,comerciais_leves
M.BENZ,SPRINTER,297,2019-12-01,comerciais_leves
PEUGEOT,BOXER,222,2019-12-01,comerciais_leves
JAC,v260,196,2019-12-01,comerciais_leves
IVECO,DAILY,175,2019-12-01,comerciais_leves
CITROEN,JUMPER,169,2019-12-01,comerciais_leves
M.BENZ,SPRINTER-415,138,2019-12-01,comerciais_leves
EFFA,V21,128,2019-12-01,comerciais_leves
FOTON,AUMARK-1039,108,2019-12-01,comerciais_leves
IVECO,DAILY-5516,90,2019-12-01,comerciais_leves
FIAT,UNO,89,2019-12-01,comerciais_leves
EFFA,K01,70,2019-12-01,comerciais_leves
M.BENZ,SPRINTER-416,68,2019-12-01,comerciais_leves
EFFA,V22,66,2019-12-01,comerciais_leves
RENAULT,KANGOO,41,2019-12-01,comerciais_leves
EFFA,K02,27,2019-12-01,comerciais_leves
TOYOTA,BANDEIRANTE,22,2019-12-01,comerciais_leves
VW,KOMBI,20,2019-12-01,comerciais_leves
M.BENZ,SPRINTER-515,17,2019-12-01,comerciais_leves
AGRALE,AGRALE-MARRUA,15,2019-12-01,comerciais_leves
M.BENZ,SPRINTER-314,15,2019-12-01,comerciais_leves
FORD,F100,13,2019-12-01,comerciais_leves
FOTON,TUNLAND,12,2019-12-01,comerciais_leves
FORD,F75,10,2019-12-01,comerciais_leves
WILLYS,OVERLAND,10,2019-12-01,comerciais_leves
GM,CHEVROLET,6,2019-12-01,comerciais_leves
