marca,modelo,qtd_emplacados,ano_mes
FIAT,STRADA,80041,2020-12-01
FIAT,TORO,53974,2020-12-01
TOYOTA,HILUX,32394,2020-12-01
VW,SAVEIRO,30965,2020-12-01
GM,S10,26639,2020-12-01
FORD,RANGER,19833,2020-12-01
FIAT,FIORINO,17852,2020-12-01
VW,AMAROK,10617,2020-12-01
MITSUBISHI,L200,9480,2020-12-01
NISSAN,FRONTIER,8077,2020-12-01
GM,MONTANA,6654,2020-12-01
RENAULT,OROCH,6070,2020-12-01
RENAULT,MASTER,5500,2020-12-01
HYUNDAI,HR,4150,2020-12-01
FIAT,DUCATO,3723,2020-12-01
VW,MAN-EXPRESS,3381,2020-12-01
KIA,K2500,2460,2020-12-01
PEUGEOT,EXPERT,1950,2020-12-01
CITROEN,JUMPY,1579,2020-12-01
RAM,2500,1475,2020-12-01
IVECO,DAILY-35-150,1403,2020-12-01
M.BENZ,SPRINTER-416,1244,2020-12-01
IVECO,DAILY-30S13,1031,2020-12-01
PEUGEOT,PARTNER,876,2020-12-01
M.BENZ,SPRINTER-314,770,2020-12-01
IVECO,DAILY-35S14,659,2020-12-01
PEUGEOT,BOXER,373,2020-12-01
EFFA,V21,301,2020-12-01
CITROEN,JUMPER,273,2020-12-01
M.BENZ,SPRINTER,219,2020-12-01
FIAT,UNO,205,2020-12-01
FIAT,DOBLO,185,2020-12-01
JAC,v260,118,2020-12-01
EFFA,V22,114,2020-12-01
IVECO,DAILY-30-130,96,2020-12-01
FOTON,AUMARK-1039,92,2020-12-01
IVECO,DAILY,78,2020-12-01
M.BENZ,SPRINTER-313,77,2020-12-01
RENAULT,KANGOO,66,2020-12-01
FOTON,AUMARK-3.5-14DT,52,2020-12-01
M.BENZ,SPRINTER-415,27,2020-12-01
CITROEN,BERLINGO,20,2020-12-01
BYD,T3,19,2020-12-01
EFFA,K01,16,2020-12-01
EFFA,V25,16,2020-12-01
M.BENZ,VITO,15,2020-12-01
M.BENZ,SPRINTER-515,11,2020-12-01
TOYOTA,BANDEIRANTE,10,2020-12-01
VW,KOMBI,9,2020-12-01
IVECO,DAILY-5516,6,2020-12-01
