marca,modelo,qtd_emplacados,ano_mes
FIAT,STRADA,109107,2021-12-01
FIAT,TORO,70890,2021-12-01
TOYOTA,HILUX,45893,2021-12-01
GM,S10,35045,2021-12-01
VW,SAVEIRO,26751,2021-12-01
FIAT,FIORINO,20602,2021-12-01
FORD,RANGER,20499,2021-12-01
MITSUBISHI,L200,13157,2021-12-01
RENAULT,OROCH,12133,2021-12-01
NISSAN,FRONTIER,11816,2021-12-01
RENAULT,MASTER,9672,2021-12-01
VW,AMAROK,7894,2021-12-01
PEUGEOT,EXPERT,3922,2021-12-01
VW,MAN-EXPRESS,3545,2021-12-01
HYUNDAI,HR,3298,2021-12-01
CITROEN,JUMPY,3212,2021-12-01
FIAT,DUCATO,2934,2021-12-01
KIA,K2500,2413,2021-12-01
IVECO,DAILY-35-150,2264,2021-12-01
RAM,2500,2227,2021-12-01
GM,MONTANA,2182,2021-12-01
IVECO,DAILY-30-130,981,2021-12-01
FIAT,DOBLO,956,2021-12-01
M.BENZ,SPRINTER-416,843,2021-12-01
M.BENZ,SPRINTER-314,647,2021-12-01
EFFA,V21,545,2021-12-01
PEUGEOT,PARTNER,540,2021-12-01
RAM,1500,533,2021-12-01
PEUGEOT,BOXER,325,2021-12-01
M.BENZ,SPRINTER,237,2021-12-01
CITROEN,JUMPER,236,2021-12-01
EFFA,V22,212,2021-12-01
FOTON,AUMARK-1039,138,2021-12-01
BYD,T3,124,2021-12-01
RENAULT,KANGOO,123,2021-12-01
JAC,v260,98,2021-12-01
IVECO,DAILY,83,2021-12-01
FOTON,AUMARK-3.5-14DT,67,2021-12-01
IVECO,DAILY-30S13,58,2021-12-01
EFFA,V25,46,2021-12-01
FORD,MAVERICK,39,2021-12-01
IVECO,DAILY-5516,29,2021-12-01
IVECO,DAILY-35S14,26,2021-12-01
TOYOTA,BANDEIRANTE,16,2021-12-01
VW,KOMBI,11,2021-12-01
GM,SILVERADO,8,2021-12-01
FORD,F250,6,2021-12-01
M.BENZ,SPRINTER-313,6,2021-12-01
WILLYS,OVERLAND,6,2021-12-01
EFFA,K01,6,2021-12-01
