marca,modelo,qtd_emplacados,ano_mes
FIAT,STRADA,54870,2017-12-01
FIAT,TORO,50723,2017-12-01
VW,SAVEIRO,42414,2017-12-01
TOYOTA,HILUX,34368,2017-12-01
GM,S10,30438,2017-12-01
FORD,RANGER,17830,2017-12-01
GM,MONTANA,14872,2017-12-01
VW,AMAROK,11964,2017-12-01
RENAULT,OROCH,11047,2017-12-01
FIAT,FIORINO,10947,2017-12-01
MITSUBISHI,L200,9946,2017-12-01
RENAULT,MASTER,6181,2017-12-01
NISSAN,FRONTIER,4057,2017-12-01
HYUNDAI,HR,4041,2017-12-01
IVECO,DAILY-3514,2008,2017-12-01
KIA,K2500,1650,2017-12-01
FIAT,DUCATO,1544,2017-12-01
RENAULT,KANGOO,1254,2017-12-01
PEUGEOT,PARTNER,939,2017-12-01
M.BENZ,SPRINTER-313,620,2017-12-01
FIAT,DOBLO,606,2017-12-01
M.BENZ,VITO,438,2017-12-01
M.BENZ,SPRINTER,424,2017-12-01
CITROEN,JUMPER,415,2017-12-01
TOYOTA,HILUX-SW4,391,2017-12-01
LIFAN,FOISON,380,2017-12-01
RAM,2500,332,2017-12-01
M.BENZ,SPRINTER-311,283,2017-12-01
FIAT,UNO,166,2017-12-01
PEUGEOT,EXPERT,154,2017-12-01
CITROEN,JUMPY,121,2017-12-01
EFFA,K01,107,2017-12-01
PEUGEOT,BOXER,87,2017-12-01
IVECO,DAILY,82,2017-12-01
M.BENZ,SPRINTER-415,67,2017-12-01
FOTON,AUMARK-1039,53,2017-12-01
RENAULT,RENAULT,46,2017-12-01
EFFA,V21,26,2017-12-01
JAC,T8,25,2017-12-01
VICR,SAVEIRO,24,2017-12-01
RELY,RELY-PICK-UP,24,2017-12-01
EFFA,K02,23,2017-12-01
FOTON,AUMARK-3.5-12DT,23,2017-12-01
M.BENZ,SPRINTER-515,22,2017-12-01
HAFEI,RUIYI,22,2017-12-01
TOYOTA,BANDEIRANTE,21,2017-12-01
SHINERAY,P-TRUCKS,18,2017-12-01
HAFEI,TOWNER,18,2017-12-01
FOTON,AUMARK-3.5-14DT,18,2017-12-01
EFFA,V22,17,2017-12-01
