marca,modelo,qtd_emplacados,ano_mes,tipo
FIAT,STRADA,7000,2023-01-01,comerciais_leves
TOYOTA,HILUX,3435,2023-01-01,comerciais_leves
FIAT,TORO,3281,2023-01-01,comerciais_leves
VW,SAVEIRO,2714,2023-01-01,comerciais_leves
GM,S10,2039,2023-01-01,comerciais_leves
FIAT,FIORINO,1303,2023-01-01,comerciais_leves
FORD,RANGER,977,2023-01-01,comerciais_leves
MITSUBISHI,L200,783,2023-01-01,comerciais_leves
RENAULT,OROCH,716,2023-01-01,comerciais_leves
RENAULT,MASTER,664,2023-01-01,comerciais_leves
NISSAN,FRONTIER,661,2023-01-01,comerciais_leves
VW,AMAROK,567,2023-01-01,comerciais_leves
FIAT,SCUDO,277,2023-01-01,comerciais_leves
RAM,3500,270,2023-01-01,comerciais_leves
FORD,TRANSIT,260,2023-01-01,comerciais_leves
KIA,K2500,214,2023-01-01,comerciais_leves
CITROEN,JUMPY,173,2023-01-01,comerciais_leves
RAM,CLASSIC,166,2023-01-01,comerciais_leves
PEUGEOT,EXPERT,148,2023-01-01,comerciais_leves
IVECO,DAILY,134,2023-01-01,comerciais_leves
VW,MAN-EXPRESS,125,2023-01-01,comerciais_leves
RAM,2500,107,2023-01-01,comerciais_leves
PEUGEOT,PARTNER,102,2023-01-01,comerciais_leves
GM,MONTANA,90,2023-01-01,comerciais_leves
FORD,MAVERICK,79,2023-01-01,comerciais_leves
M.BENZ,SPRINTER-315,64,2023-01-01,comerciais_leves
EFFA,V21,62,2023-01-01,comerciais_leves
RAM,1500,50,2023-01-01,comerciais_leves
EFFA,V22,23,2023-01-01,comerciais_leves
JEEP,GLADIATOR,16,2023-01-01,comerciais_leves
M.BENZ,SPRINTER,12,2023-01-01,comerciais_leves
FIAT,DUCATO,10,2023-01-01,comerciais_leves
IVECO,DAILY-30-130,9,2023-01-01,comerciais_leves
BYD,T3,7,2023-01-01,comerciais_leves
FORD,F150,3,2023-01-01,comerciais_leves
GMC,HUMMER-EV-EDITION-1,3,2023-01-01,comerciais_leves
M.BENZ,SPRINTER-416,3,2023-01-01,comerciais_leves
TOYOTA,BANDEIRANTE,3,2023-01-01,comerciais_leves
EFFA,V25,3,2023-01-01,comerciais_leves
JAC,EJV5.5,3,2023-01-01,comerciais_leves
JAC,IEV-330P,3,2023-01-01,comerciais_leves
JAC,IEV750,3,2023-01-01,comerciais_leves
FOTON,AUMARK-1039,3,2023-01-01,comerciais_leves
FOTON,AUMARK-3.5-14DT,3,2023-01-01,comerciais_leves
GM,SILVERADO,2,2023-01-01,comerciais_leves
GMC,SIERRA,2,2023-01-01,comerciais_leves
HYUNDAI,HR,2,2023-01-01,comerciais_leves
TOYOTA,TUNDRA,2,2023-01-01,comerciais_leves
CITROEN,BERLINGO,1,2023-01-01,comerciais_leves
FIAT,DOBLO,1,2023-01-01,comerciais_leves
